id,yearMonth,sex,age
7217007a-0b08-462b-afe3-00660c88dd56,2001-01,Feminino,0-4 years
307e6ca8-5425-4752-8d20-7ea7ead297d3,2001-01,Masculino,0-4 years
183c1ff8-4b37-4bae-9c70-caaf5d67c622,2001-01,Feminino,10-14 years
ac7cb214-f710-4514-a193-f05e7a854eb3,2001-01,Masculino,10-14 years
b8c9ce97-2d04-4d61-8094-0d6fd90f561a,2001-01,Feminino,15-19 years
cb18cf3e-3f31-4c0d-b0f3-6a62954e071c,2001-01,Masculino,15-19 years
a30120de-9dbe-460a-9ff0-1bf8d6a46df4,2001-01,Feminino,20-24 years
0faf5564-08dd-4909-b2d1-ad1cc96c0e09,2001-01,Masculino,20-24 years
d6d1f6c6-a67a-44b8-9749-611e1ffe7a54,2001-01,Feminino,25-29 years
913674f3-3252-4c90-a579-af8868736998,2001-01,Masculino,25-29 years
7c3df555-5fec-4981-bd84-3143d4087f50,2001-01,Feminino,30-34 years
8b90d59a-cf01-4167-b0b1-00f0bf3c4824,2001-01,Masculino,30-34 years
bc81a7f4-fe5b-41a2-9b3f-df9d39bd5873,2001-01,Feminino,35-39 years
d7bd96d2-05ec-413a-a8e1-08c7a2dfb929,2001-01,Masculino,35-39 years
18c47a40-73b2-4135-83c7-44a61ae18022,2001-01,Feminino,40-44 years
e09696d0-df7b-4485-9628-4af76a9e11cf,2001-01,Masculino,40-44 years
897e165e-d9a6-4141-a9f4-87e11baacd4f,2001-01,Feminino,45-49 years
ef4666a1-22fa-4bba-a60a-ce45dc79331c,2001-01,Masculino,45-49 years
5a76f4c6-d0c5-4e86-8b46-7434e587b9b5,2001-01,Feminino,5-9 years
e4d20f9f-3aad-4d48-9ff7-8c2cd04c15e2,2001-01,Masculino,5-9 years
62fb35d1-9db0-4d1c-964e-dc3d7e67e863,2001-01,Feminino,50-54 years
57429006-6ff5-4596-94ac-6e2af2623c26,2001-01,Masculino,50-54 years
d4e3eaff-e141-4c9f-b9f2-a621dbb0d315,2001-01,Feminino,55-59 years
c8568c66-fd75-4e84-a71b-4df1f8e606c4,2001-01,Masculino,55-59 years
143c2ce9-1ddb-44cb-9369-82908ab6243c,2001-01,Feminino,60-64 years
7ce805da-5b69-44d3-9977-588566bdc1cf,2001-01,Masculino,60-64 years
4f659104-58cc-4898-af1a-8925b0f1dfc8,2001-01,Feminino,65-69 years
f83f5daa-08d9-41a0-8481-2537f27c878c,2001-01,Masculino,65-69 years
1a77e6c6-d3f6-4ca9-9a72-81a9481eef76,2001-01,Feminino,70-74 years
fac79fec-3e58-4bda-bdd8-2d5ecf045d81,2001-01,Masculino,70-74 years
3fec49b5-2260-4e3d-9d51-05734005334a,2001-01,Feminino,75-79 years
37cc4204-2afb-43a5-965a-2f48387fbdbe,2001-01,Masculino,75-79 years
586ce9a6-3acb-473d-bf37-e0345eb81233,2001-01,Feminino,80-84 years
0f654e11-d276-4344-bc34-1de5cc8b8dfd,2001-01,Masculino,80-84 years
2f00faeb-2ce5-42ab-84c1-7f7ed9513024,2001-01,Feminino,85-89 years
801139f4-f5b3-434c-a89b-58ef2e2a765e,2001-01,Masculino,85-89 years
795820ca-ec97-4530-8381-6652fdf1692b,2001-01,Feminino,90+ years
64e42ae3-3b80-4d04-8e09-557c28686e83,2001-01,Masculino,90+ years
c8658bb6-54b1-4145-b315-356fea38caf5,2001-01,Feminino,0-4 years
0aeb90a1-9bac-4fc0-87c8-610520f74951,2001-01,Masculino,0-4 years
26e32cbb-efa8-4da2-ac5c-86fa6226a47f,2001-01,Feminino,10-14 years
ed5bae04-930a-4ca8-b32b-f125c14bc6a1,2001-01,Masculino,10-14 years
2467f971-77a2-48d7-8c59-786804c34a5b,2001-01,Feminino,15-19 years
34ca48f4-e900-46f0-a64d-77aa48452698,2001-01,Masculino,15-19 years
af1d919b-99a0-47bc-8d95-a137dade8f03,2001-01,Feminino,20-24 years
949327ba-62e4-4147-a6aa-d40e6f4d5bf7,2001-01,Masculino,20-24 years
f925cb8e-5115-4284-832a-943d5dafed87,2001-01,Feminino,25-29 years
d2785b19-9260-4375-b8f0-4e5590d6832f,2001-01,Masculino,25-29 years
985eb9dc-ca44-46df-83f9-7222cabdbc39,2001-01,Feminino,30-34 years
88e366a2-b47d-45cc-830e-13d47d87c680,2001-01,Masculino,30-34 years
78965283-da1b-4da8-9f87-5008ac847b89,2001-01,Feminino,35-39 years
d3865427-9e4d-41a3-aa75-4f9c1c69e99f,2001-01,Masculino,35-39 years
2fea2f57-c833-4a4e-bd76-0220f16eed11,2001-01,Feminino,40-44 years
0aa6384f-b992-4a21-86b8-f95a340fba66,2001-01,Masculino,40-44 years
dcf97c30-6e76-428a-a44d-f64e16273a32,2001-01,Feminino,45-49 years
37645fc2-1160-44b7-b09f-a04e97249b2a,2001-01,Masculino,45-49 years
adb526fb-f107-40e4-b95b-c21f18aad316,2001-01,Feminino,5-9 years
ca4b8ca3-ddac-458f-adb6-2c2f3dac8c9b,2001-01,Masculino,5-9 years
e1410494-f3bc-4c3c-ba53-6a41e377cc1c,2001-01,Feminino,50-54 years
7000f619-0997-41c2-801e-b1a0d948b436,2001-01,Masculino,50-54 years
736c1cde-6f13-4b64-b41b-a1c8cfb2e7f1,2001-01,Feminino,55-59 years
67b05ae6-4363-40ed-a2a9-0b2d03496ddf,2001-01,Masculino,55-59 years
1deb6515-c615-4d50-b7bf-13b1a6e93014,2001-01,Feminino,60-64 years
004e430e-e2d7-411a-8128-2c9706a3b760,2001-01,Masculino,60-64 years
e293df27-7671-4142-b83a-41f308160065,2001-01,Feminino,65-69 years
be29a084-1307-4bdb-a343-24fb609da323,2001-01,Masculino,65-69 years
3b399de2-6f65-45b9-a3dc-470aa760f5c6,2001-01,Feminino,70-74 years
68c2023d-c7d3-4657-a5dc-acc684225908,2001-01,Masculino,70-74 years
09393420-9bea-452b-9112-9c8121dc815c,2001-01,Feminino,75-79 years
175b9672-8d93-4fae-9eb9-07d971d72e2c,2001-01,Masculino,75-79 years
7a013ecd-c9cf-429e-a4d2-44d99d327d5c,2001-01,Feminino,80-84 years
a5ecc4be-433d-4805-82b6-c5b5bada1a9b,2001-01,Masculino,80-84 years
75b11bcc-d717-40cf-b330-50369452e3b1,2001-01,Feminino,85-89 years
205f9169-0969-4b3f-ad69-699bf8adb2ab,2001-01,Feminino,90+ years
3cedc91c-5f85-4ccd-89d3-bdbfd407c573,2001-01,Feminino,0-4 years
efa1d2bd-c25d-45a0-b555-80d97d35a0b5,2001-01,Masculino,0-4 years
d5cf6458-f467-457c-9cde-7f1d24c4504b,2001-01,Feminino,10-14 years
edb3db41-3330-45ce-92c4-e48e89b75845,2001-01,Masculino,10-14 years
68833dab-f6d3-4ab8-81e3-46dcea95135f,2001-01,Feminino,15-19 years
9cb0569e-5564-474b-978f-b8d522169e57,2001-01,Masculino,15-19 years
6d364071-e5bf-4e5d-bf75-aaa817819c11,2001-01,Feminino,20-24 years
026c59be-e27f-4145-84d4-f02daf9fbe2e,2001-01,Masculino,20-24 years
bc9363c3-3c7e-4d26-8334-14fa27047130,2001-01,Feminino,25-29 years
9cf7e392-75a0-4fbb-931d-e626ccf60699,2001-01,Masculino,25-29 years
ea3aacdd-c147-405b-a4c1-532afb5b7fc4,2001-01,Feminino,30-34 years
41fd9338-3cc8-4bee-82ce-a539d29fa43a,2001-01,Masculino,30-34 years
c22fb3f0-8057-4d39-8716-9dfff63c7908,2001-01,Feminino,35-39 years
640eb86d-aa2e-4e10-8ca9-28cdd32a826a,2001-01,Masculino,35-39 years
54207aca-42b1-42b5-9a80-ee7d2d8db41a,2001-01,Feminino,40-44 years
e5cc625f-8ba6-40f8-933a-0176235fcafa,2001-01,Masculino,40-44 years
537732b3-c968-498e-950f-e947f63a129b,2001-01,Feminino,45-49 years
e9407be1-046c-4b51-8882-4ef7d016573a,2001-01,Masculino,45-49 years
8595cc54-66e3-4b08-8a6f-d786bae55865,2001-01,Feminino,5-9 years
866b2102-bd49-4443-a36d-91caafd4936e,2001-01,Masculino,5-9 years
9dc537a3-425b-4e8e-b1d2-55507a4b582a,2001-01,Feminino,50-54 years
a3d3d70b-48b4-456b-860b-0162b37a95a1,2001-01,Masculino,50-54 years
4518b755-a190-4757-a93b-456273f21417,2001-01,Feminino,55-59 years
45a869a6-83d7-4a5f-8c18-ec4950f378c4,2001-01,Masculino,55-59 years
ae06df89-3689-46a6-950d-24dd9cad4395,2001-01,Masculino,60-64 years
df518830-e43b-45b1-9955-39f7ef3e4032,2001-01,Feminino,65-69 years
b2a4fba5-6f05-420d-817e-da4f61d79c15,2001-01,Masculino,65-69 years
a3317767-ba59-4fd1-830a-139cb513573d,2001-01,Feminino,70-74 years
04fc7564-0ef9-4e17-a9cb-bbc1851362a1,2001-01,Masculino,70-74 years
24082933-c936-483d-a55d-2846d3c11889,2001-01,Feminino,75-79 years
632463c4-cfc1-4874-a52b-6db359ac1d53,2001-01,Masculino,75-79 years
cda90d6a-2bf6-4e57-9da3-7e7b2f39497f,2001-01,Feminino,80-84 years
fb6cacc1-b072-47e6-805c-291b35632ee2,2001-01,Masculino,80-84 years
f1e99dff-ddf5-420f-9e62-ca88b5a6467e,2001-01,Feminino,85-89 years
7c823fe2-fc3a-4d17-b487-97d7c38ec2a7,2001-01,Masculino,85-89 years
8632af62-8c85-4775-a54a-fe48485a767f,2001-01,Feminino,90+ years
787eb506-615c-4000-8a1c-9ff7ebe50123,2001-01,Masculino,90+ years
10e9e8b0-36a1-436c-aac3-35f74fbe98f4,2001-01,Não informado,0-4 years
a7c1b724-d936-410d-bf7b-02583a3f2196,2001-01,Não informado,10-14 years
d55de4dc-0134-4953-b4a9-821a508cd57e,2001-01,Não informado,15-19 years
1aa02e18-6095-414f-8bda-e283784008d9,2001-01,Não informado,20-24 years
81f1b75e-8270-47d8-b83f-9c83f04c6063,2001-01,Não informado,25-29 years
6730b6ca-af85-4ccc-9ce2-fe7a18918e9b,2001-01,Não informado,30-34 years
b7288fe0-8dd1-452d-84fe-f0691334ff72,2001-01,Não informado,35-39 years
3a416192-5480-4ecc-b130-8857da91d048,2001-01,Não informado,40-44 years
c94233b2-d888-48ac-a699-368dc319882c,2001-01,Não informado,45-49 years
b3ca4516-94a7-4b9c-bbe9-b922e2402e32,2001-01,Não informado,5-9 years
c617fc1e-8efc-4af1-83cc-fe7f726148f2,2001-01,Não informado,50-54 years
867fb988-dda5-46ad-8443-2e86d8d290bf,2001-01,Não informado,55-59 years
171accbb-5a83-4a4f-8745-1b5d66e45af3,2001-01,Não informado,60-64 years
f4811131-dc7a-433e-b5fe-43d38998f05c,2001-01,Não informado,65-69 years
cd45c698-3889-4cbb-b431-58546cb44ebd,2001-01,Não informado,70-74 years
54d11d56-c7db-4abe-9900-ec4fb5a170e4,2001-01,Não informado,75-79 years
c3d98ee9-0c5e-4ef6-ab40-7a12cf782bcd,2001-01,Não informado,80-84 years
e72a7f41-1645-4d36-8700-6dda8018faff,2001-01,Não informado,85-89 years
39d6a9a4-2276-4126-b076-a03f6a3afa69,2001-01,Não informado,0-4 years
f580d38c-bd96-4067-adb8-8612e0c5a2a2,2001-01,Não informado,10-14 years
634d7492-a056-4a3b-97f0-3d248cecd2ca,2001-01,Não informado,15-19 years
9b7d305b-28e9-41cb-9b37-07a3011b69bb,2001-01,Não informado,20-24 years
f8c0e818-d618-4cf3-8c6d-2d8c8a9d95f7,2001-01,Não informado,25-29 years
dee029db-3caa-4fe6-b69f-05dc7dd560ea,2001-01,Não informado,30-34 years
d39b4c75-c516-4bfd-99ea-e0b299b2475e,2001-01,Não informado,35-39 years
60f988fc-5859-4f76-bcfe-6c90c8baeae9,2001-01,Não informado,40-44 years
6ac26ca9-a940-409e-8fe4-978a4eceb521,2001-01,Não informado,45-49 years
1bb10f64-3582-4972-896b-db9c54eb7b93,2001-01,Não informado,5-9 years
45e29797-40a9-4968-a6ea-b15afea5ec3b,2001-01,Não informado,50-54 years
d3c17fb3-d4b1-47ff-b0fe-a149ffa044f0,2001-01,Não informado,55-59 years
1f331313-4211-47f2-82c6-07abacf29c93,2001-01,Não informado,60-64 years
02891fd2-6c93-4781-95b4-dd8d1bb760ec,2001-01,Não informado,65-69 years
6dd81f85-ca74-414a-8fbb-0b5e1eae253e,2001-01,Não informado,70-74 years
90f6a980-0362-4a61-b128-1e52bc86d9dc,2001-01,Não informado,75-79 years
c49387e8-8f7d-49e5-888f-fcae85c13aa9,2001-01,Não informado,80-84 years
354a67ea-8e26-4d8f-864c-06c0cbe81b2c,2001-01,Não informado,85-89 years
bf79f57c-dbcc-4550-b1be-afa3c4b03d74,2001-01,Não informado,0-4 years
bf32c47f-f52d-432d-8de8-5d825f48a771,2001-01,Não informado,10-14 years
55f00c72-2c2b-42b7-bb7a-c290cd2ae744,2001-01,Não informado,15-19 years
1d1ed9fe-b897-4b6e-be76-90619706e307,2001-01,Não informado,20-24 years
486da1b1-a53c-4e2b-866f-d1858f14bfb0,2001-01,Não informado,25-29 years
c499607e-6013-48dc-9f25-b48a375d2690,2001-01,Não informado,30-34 years
244e6cdd-cc45-4c1e-b6b2-e6a83ba8a94a,2001-01,Não informado,35-39 years
9976e211-b4cf-4abb-bae6-11c0815abb28,2001-01,Não informado,40-44 years
e02d49fc-249a-42d3-955a-1b73fc7e16cc,2001-01,Não informado,45-49 years
cad5f089-ddd2-423f-a15d-5f9d8035ca7f,2001-01,Não informado,5-9 years
befb3c87-e4c0-4be9-80e2-06420e5cbce4,2001-01,Não informado,50-54 years
0cd9d43d-52c2-4e5d-8b05-9108e73d19f2,2001-01,Não informado,55-59 years
e60fe775-d9e5-434d-9254-c34c59ed2199,2001-01,Não informado,60-64 years
78167119-47f9-4c0c-bcf3-ec6b63e44edc,2001-01,Não informado,65-69 years
feaf5320-30c1-4bcf-850c-b91fb94ca092,2001-01,Não informado,70-74 years
4ed90922-2612-4f2c-b2d0-ad217cee3e77,2001-01,Não informado,75-79 years
a12624bd-f2f0-498e-a01a-cacc0ffdd187,2001-01,Não informado,80-84 years
e71f1e00-edb5-491a-98af-fa7189e205e0,2001-01,Não informado,85-89 years
bf6a6e2a-08ad-47e6-ad73-35544ae9cd6e,2001-01,Não informado,90+ years
a14ca693-60d7-473e-b859-c48d283a415d,2001-01,Não informado,90+ years
4fc3ed5e-fb98-400a-bbd0-c643f488c4ee,2001-01,Não informado,90+ years
52c5a0e1-a37f-4a94-81ca-a6793d4c61be,2001-01,Feminino,TOTAL
9495c4d5-df41-41db-bbc8-6eb81698e72f,2001-01,Masculino,TOTAL
b5e4ed18-7110-4aa3-82db-ed5c1ff82a97,2001-01,Feminino,TOTAL
fa423f3c-6612-4a12-9139-2c9908c137f1,2001-01,Masculino,TOTAL
5404720e-0644-490b-b924-3690fc04fa45,2001-01,Feminino,TOTAL
b0c3d149-7d40-473e-a82d-7a816be39721,2001-01,Masculino,TOTAL
b89ff0d1-d6f9-41ce-9b70-2953eee6dfe3,2001-01,Não informado,TOTAL
0fdf356d-cfe5-4c93-8b91-ef2ba9e86c21,2001-01,Não informado,TOTAL
c8378278-3911-4f79-9d53-dba121626fd1,2001-01,Não informado,TOTAL
89443939-654c-43d9-864f-55429f42ab6c,2001-02,Feminino,0-4 years
9d1dc112-2df1-49e8-8632-631c6c178452,2001-02,Masculino,0-4 years
4ca98287-a0a6-4117-9e88-fb83b5d6f51d,2001-02,Feminino,10-14 years
55562eaf-e55b-4fe4-9c12-ea1dfe9af83b,2001-02,Masculino,10-14 years
6caa8b97-9398-48c7-967c-628109b77403,2001-02,Feminino,15-19 years
44398879-be09-440a-a543-370472ff4a0c,2001-02,Masculino,15-19 years
b1e95742-6d03-4283-b67a-4ed6169fbadf,2001-02,Feminino,20-24 years
f72e9231-9d0a-414b-bd5c-2899e9bcc3fe,2001-02,Masculino,20-24 years
1de96825-901a-457b-bc01-6388d400cd0b,2001-02,Feminino,25-29 years
ae72c841-5885-4c38-b310-60e942b81c9c,2001-02,Masculino,25-29 years
60a61caa-79b6-4cfe-8e0c-363891d309d9,2001-02,Feminino,30-34 years
4b782d16-0d46-4f53-a8b0-b472a9e9d144,2001-02,Masculino,30-34 years
c2eab53b-8fc9-4da4-9494-5767da60d6b0,2001-02,Feminino,35-39 years
578e179a-4107-4849-ac7f-8fffc14624b8,2001-02,Masculino,35-39 years
41e8f2de-36bf-4350-9322-4b8b234b1d46,2001-02,Feminino,40-44 years
055a8051-40c0-4d0a-8ae8-634f1b9cbed6,2001-02,Masculino,40-44 years
8177571b-98c3-45e4-b2f7-151aaf10a839,2001-02,Feminino,45-49 years
ab310c68-2644-4b93-926c-14636c126feb,2001-02,Masculino,45-49 years
92315366-71c8-4c3a-8650-8b530bf198b1,2001-02,Feminino,5-9 years
72f11641-0da6-48fb-bed1-ca2b2c454a14,2001-02,Masculino,5-9 years
f0b30988-ef8a-479d-a702-e6f148d0df6f,2001-02,Feminino,50-54 years
8bd85492-bdca-4653-96c6-c1493a5f4636,2001-02,Masculino,50-54 years
0fa61180-ee4d-41d8-9998-5a0d8cd7875c,2001-02,Feminino,55-59 years
05c7c184-5624-465a-8c1f-5e3dcba28439,2001-02,Masculino,55-59 years
8de9279a-2d42-4290-90fa-db60482724e8,2001-02,Feminino,60-64 years
5ab642d1-b48e-4e45-87db-dd6dbde8182f,2001-02,Masculino,60-64 years
1cec3b21-aed5-403f-9beb-744f284a6f8e,2001-02,Feminino,65-69 years
deb1aff0-f31a-4104-9984-1ea099f823ed,2001-02,Masculino,65-69 years
2f0bc620-b3ed-4aff-b456-3771cb5d395a,2001-02,Feminino,70-74 years
1c65a72f-bf53-4e32-9ea9-9cfb202d8a80,2001-02,Masculino,70-74 years
c60331b6-5d0c-4549-bdee-4094a7fa9224,2001-02,Feminino,75-79 years
22904ace-6b02-422e-b607-0d25e469235a,2001-02,Masculino,75-79 years
4cbcad1a-a186-499c-8235-6bcc6ea324b4,2001-02,Feminino,80-84 years
c38afe1d-3774-4d3b-9d48-632e146dbbda,2001-02,Masculino,80-84 years
0e7434f7-13a4-4ca1-bc92-3c933e6b214d,2001-02,Feminino,85-89 years
55b1589a-fb73-44ba-9b26-3b329a806eda,2001-02,Masculino,85-89 years
fd76c54e-8581-49d5-a141-59c3a8fefbd3,2001-02,Feminino,90+ years
aef6cef1-2dbd-4519-93e1-6ba916a2ddcb,2001-02,Masculino,90+ years
0593a8e3-0007-4ba9-ac4b-41a569e82b7b,2001-02,Feminino,0-4 years
09f21760-fbc8-4411-b815-2bd65cf5822f,2001-02,Masculino,0-4 years
d44bd89d-6b6b-4c8a-b8ef-c433e1a5c975,2001-02,Feminino,10-14 years
69fe40db-d58a-4b2b-b94f-f25a39651d52,2001-02,Masculino,10-14 years
32d79c35-84b6-4ec9-9b46-d5908dd8bbb6,2001-02,Feminino,15-19 years
a3ccb38c-85ba-478a-a693-54941bebb3a6,2001-02,Masculino,15-19 years
ce492071-9360-4325-b0b9-aab3bf02d50c,2001-02,Feminino,20-24 years
fd376389-cfbd-43b5-8b85-30c26ae571b4,2001-02,Masculino,20-24 years
49a0ba35-26e1-487e-b6ef-d4659a43d8bd,2001-02,Feminino,25-29 years
16529495-e8e7-4009-b2dc-2f171893ce64,2001-02,Masculino,25-29 years
0b58ba23-8b26-4843-a572-42543beb44c2,2001-02,Feminino,30-34 years
8a761e10-d0ed-4188-b836-603df50700bf,2001-02,Masculino,30-34 years
4e6f1321-d326-442b-bf8b-0d87dd798630,2001-02,Feminino,35-39 years
f33ce05f-6ad8-4ed0-b60e-54c3fe47072c,2001-02,Masculino,35-39 years
e26862c3-1e6f-42af-92be-24ce009df8d7,2001-02,Feminino,40-44 years
7105cf9d-9030-40e5-bd37-5904f4780d3e,2001-02,Masculino,40-44 years
896a746a-a83c-4afa-8b08-64b1a799de91,2001-02,Feminino,45-49 years
7289b06e-42b2-47d2-9137-4ae85f5967f5,2001-02,Masculino,45-49 years
f2f8691f-608d-4711-ac05-05b613e2f5b7,2001-02,Feminino,5-9 years
bcc48c11-100f-45c5-861d-e6c53a4a5516,2001-02,Masculino,5-9 years
30253918-372a-409e-9b8a-c831e32b8d10,2001-02,Feminino,50-54 years
a1deee87-947a-4c73-aa97-ca5c5ebb68da,2001-02,Masculino,50-54 years
7f02b45c-4558-4e30-a926-d6876f8675d1,2001-02,Feminino,55-59 years
65348aeb-748c-4048-a488-97237e5d28a0,2001-02,Masculino,55-59 years
21c5763d-472d-4577-8919-8ea553095abb,2001-02,Feminino,60-64 years
ea6ef24d-f5ab-4f47-8506-dea1baeda9e4,2001-02,Masculino,60-64 years
801ca8d9-519c-43a2-ac9f-d095080b6411,2001-02,Feminino,65-69 years
e903ed33-954e-4f43-9271-47e7e994b985,2001-02,Masculino,65-69 years
9f375636-b2b1-499a-8b9e-55d39700949b,2001-02,Feminino,70-74 years
3d8f520e-625a-44c0-a4c0-8769672dab7f,2001-02,Masculino,70-74 years
28b4a707-beef-4c1e-b37a-e82ee56d6b8a,2001-02,Feminino,75-79 years
f110519d-19d9-47a1-a92b-fa5a7d90c42f,2001-02,Masculino,75-79 years
027c47f2-87f1-40f6-ab54-28f14ca63b89,2001-02,Feminino,80-84 years
1b57a203-1fa1-4667-8ebe-bb06a11e0341,2001-02,Masculino,80-84 years
